Linux 5.15.0-87-generic (gl6) 	01/31/2024 	_x86_64_	(32 CPU)

07:04:43 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:04:48 PM     all      3.72      0.00      4.22      0.12      0.00     91.94
07:04:48 PM       0      0.80      0.00      4.81      0.00      0.00     94.39
07:04:48 PM       1      1.00      0.00      4.21      0.00      0.00     94.79
07:04:48 PM       2      0.60      0.00      4.60      2.60      0.00     92.20
07:04:48 PM       3      0.80      0.00      4.41      0.00      0.00     94.79
07:04:48 PM       4      1.20      0.00      3.81      0.00      0.00     94.99
07:04:48 PM       5      0.60      0.00      4.61      1.00      0.00     93.79
07:04:48 PM       6      0.40      0.00      4.80      0.00      0.00     94.80
07:04:48 PM       7      3.20      0.00      4.80      0.00      0.00     92.00
07:04:48 PM       8      0.80      0.00      4.40      0.00      0.00     94.80
07:04:48 PM       9     89.20      0.00      2.00      0.20      0.00      8.60
07:04:48 PM      10      0.60      0.00      4.59      0.00      0.00     94.81
07:04:48 PM      11      0.80      0.00      4.21      0.00      0.00     94.99
07:04:48 PM      12      0.80      0.00      4.39      0.00      0.00     94.81
07:04:48 PM      13      0.80      0.00      4.21      0.00      0.00     94.99
07:04:48 PM      14      1.20      0.00      3.99      0.00      0.00     94.81
07:04:48 PM      15      0.80      0.00      4.40      0.00      0.00     94.80
07:04:48 PM      16      1.00      0.00      4.20      0.00      0.00     94.80
07:04:48 PM      17      1.00      0.00      4.00      0.00      0.00     95.00
07:04:48 PM      18      1.60      0.00      3.59      0.00      0.00     94.81
07:04:48 PM      19      0.60      0.00      4.59      0.00      0.00     94.81
07:04:48 PM      20      0.60      0.00      4.41      0.00      0.00     94.99
07:04:48 PM      21      1.00      0.00      4.19      0.00      0.00     94.81
07:04:48 PM      22      1.00      0.00      4.20      0.00      0.00     94.80
07:04:48 PM      23      0.80      0.00      4.21      0.00      0.00     94.99
07:04:48 PM      24      1.60      0.00      3.60      0.00      0.00     94.80
07:04:48 PM      25      1.00      0.00      4.38      0.00      0.00     94.62
07:04:48 PM      26      0.80      0.00      4.39      0.00      0.00     94.81
07:04:48 PM      27      0.60      0.00      4.41      0.00      0.00     94.99
07:04:48 PM      28      1.40      0.00      3.61      0.00      0.00     94.99
07:04:48 PM      29      1.00      0.00      4.19      0.00      0.00     94.81
07:04:48 PM      30      0.60      0.00      4.40      0.00      0.00     95.00
07:04:48 PM      31      0.80      0.00      4.40      0.00      0.00     94.80

07:04:48 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:04:53 PM     all      0.79      0.00      0.13      0.89      0.00     98.19
07:04:53 PM       0      0.20      0.00      0.40      0.00      0.00     99.40
07:04:53 PM       1      0.00      0.00      0.20      0.00      0.00     99.80
07:04:53 PM       2      0.00      0.00      0.80      0.00      0.00     99.20
07:04:53 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM       9     23.75      0.00      1.20     23.55      0.00     51.50
07:04:53 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM      19      0.00      0.00      0.20      0.00      0.00     99.80
07:04:53 PM      20      0.00      0.00      0.40      0.00      0.00     99.60
07:04:53 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM      26      0.00      0.00      0.20      0.00      0.00     99.80
07:04:53 PM      27      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM      28      0.80      0.00      0.20      2.20      0.00     96.80
07:04:53 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
07:04:53 PM      31      0.60      0.00      0.40      2.80      0.00     96.20

07:04:53 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:04:58 PM     all      4.33      0.00      0.23      0.48      0.00     94.97
07:04:58 PM       0      0.20      0.00      0.20      0.00      0.00     99.60
07:04:58 PM       1      0.20      0.00      0.00      0.00      0.00     99.80
07:04:58 PM       2      0.00      0.00      4.60      0.00      0.00     95.40
07:04:58 PM       3      0.20      0.00      0.20      0.60      0.00     99.00
07:04:58 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM       6      0.20      0.00      0.00      0.00      0.00     99.80
07:04:58 PM       7      0.20      0.00      0.00      0.00      0.00     99.80
07:04:58 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM      14      0.20      0.00      0.20      1.00      0.00     98.60
07:04:58 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM      25      1.40      0.00      0.20      1.40      0.00     96.99
07:04:58 PM      26      0.20      0.00      0.20      0.80      0.00     98.80
07:04:58 PM      27      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM      28     47.90      0.00      0.60      7.78      0.00     43.71
07:04:58 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
07:04:58 PM      31     87.60      0.00      1.00      3.80      0.00      7.60

07:04:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:05:03 PM     all      0.83      0.00      0.09      1.43      0.00     97.64
07:05:03 PM       0      0.00      0.00      0.60      0.60      0.00     98.80
07:05:03 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM       8      0.00      0.00      0.20      0.00      0.00     99.80
07:05:03 PM       9      3.01      0.00      0.00     20.88      0.00     76.10
07:05:03 PM      10      3.21      0.00      0.00     10.42      0.00     86.37
07:05:03 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM      15      0.00      0.00      0.40      0.00      0.00     99.60
07:05:03 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM      17      0.00      0.00      0.20      0.00      0.00     99.80
07:05:03 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM      21      0.00      0.00      0.20      0.00      0.00     99.80
07:05:03 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM      25     20.44      0.00      1.00     14.03      0.00     64.53
07:05:03 PM      26      0.00      0.00      0.20      0.00      0.00     99.80
07:05:03 PM      27      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM      28      0.00      0.00      0.20      0.00      0.00     99.80
07:05:03 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
07:05:03 PM      31      0.00      0.00      0.00      0.00      0.00    100.00

07:05:03 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:05:08 PM     all      0.29      0.00      0.08      1.65      0.00     97.98
07:05:08 PM       0      0.00      0.00      0.40      0.00      0.00     99.60
07:05:08 PM       1      0.20      0.00      0.20      0.00      0.00     99.60
07:05:08 PM       2      0.00      0.00      0.00      0.60      0.00     99.40
07:05:08 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM       5      0.00      0.00      0.20      0.00      0.00     99.80
07:05:08 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM       7      0.00      0.00      0.20      0.00      0.00     99.80
07:05:08 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM       9      0.00      0.00      0.40      0.00      0.00     99.60
07:05:08 PM      10      2.59      0.00      0.60     10.58      0.00     86.23
07:05:08 PM      11      6.46      0.00      0.40     42.02      0.00     51.11
07:05:08 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM      21      0.00      0.00      0.20      0.00      0.00     99.80
07:05:08 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM      27      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM      28      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
07:05:08 PM      31      0.00      0.00      0.00      0.00      0.00    100.00

07:05:08 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:05:13 PM     all      0.23      0.00      0.11      1.99      0.00     97.66
07:05:13 PM       0      0.00      0.00      0.40      0.00      0.00     99.60
07:05:13 PM       1      0.00      0.00      0.20      0.00      0.00     99.80
07:05:13 PM       2      0.20      0.00      0.20      0.00      0.00     99.60
07:05:13 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM       9      0.00      0.00      0.60      0.00      0.00     99.40
07:05:13 PM      10      2.60      0.00      0.00     14.40      0.00     83.00
07:05:13 PM      11      4.43      0.00      0.00     49.70      0.00     45.88
07:05:13 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM      14      0.00      0.00      1.80      0.00      0.00     98.20
07:05:13 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM      23      0.20      0.00      0.20      0.00      0.00     99.60
07:05:13 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM      27      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM      28      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
07:05:13 PM      30      0.00      0.00      0.20      0.00      0.00     99.80
07:05:13 PM      31      0.00      0.00      0.00      0.00      0.00    100.00

07:05:13 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:05:18 PM     all      0.18      0.00      0.08      1.79      0.00     97.95
07:05:18 PM       0      0.00      0.00      0.40      0.00      0.00     99.60
07:05:18 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM       2      0.00      0.00      0.20      0.00      0.00     99.80
07:05:18 PM       3      0.00      0.00      0.20      0.00      0.00     99.80
07:05:18 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM       9      0.00      0.00      0.40      0.00      0.00     99.60
07:05:18 PM      10      5.84      0.00      0.40     56.94      0.00     36.82
07:05:18 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM      17      0.00      0.00      0.20      0.00      0.00     99.80
07:05:18 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM      22      0.00      0.00      0.20      0.00      0.00     99.80
07:05:18 PM      23      0.00      0.00      0.40      0.60      0.00     99.00
07:05:18 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM      27      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM      28      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
07:05:18 PM      31      0.00      0.00      0.00      0.00      0.00    100.00

07:05:18 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:05:23 PM     all      0.26      0.00      0.06      1.71      0.00     97.97
07:05:23 PM       0      0.20      0.00      0.20      0.00      0.00     99.60
07:05:23 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM       4      0.00      0.00      0.20      0.00      0.00     99.80
07:05:23 PM       5      0.00      0.00      0.20      0.00      0.00     99.80
07:05:23 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM       9      0.00      0.00      0.40      0.00      0.00     99.60
07:05:23 PM      10      4.62      0.00      0.20     30.32      0.00     64.86
07:05:23 PM      11      3.62      0.00      0.60     24.55      0.00     71.23
07:05:23 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM      27      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM      28      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
07:05:23 PM      31      0.00      0.00      0.00      0.00      0.00    100.00

07:05:23 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:05:28 PM     all      0.25      0.00      0.06      1.83      0.00     97.86
07:05:28 PM       0      0.00      0.00      0.40      0.00      0.00     99.60
07:05:28 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM       3      0.00      0.00      0.20      0.00      0.00     99.80
07:05:28 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM       6      0.00      0.00      0.20      0.00      0.00     99.80
07:05:28 PM       7      0.00      0.00      0.20      0.00      0.00     99.80
07:05:28 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM       9      0.00      0.00      0.20      0.00      0.00     99.80
07:05:28 PM      10      0.00      0.00      0.20      0.00      0.00     99.80
07:05:28 PM      11      8.03      0.00      0.60     58.03      0.00     33.33
07:05:28 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM      23      0.00      0.00      0.00      0.60      0.00     99.40
07:05:28 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM      27      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM      28      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
07:05:28 PM      31      0.00      0.00      0.00      0.00      0.00    100.00

07:05:28 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:05:33 PM     all      0.23      0.00      0.06      1.83      0.00     97.87
07:05:33 PM       0      0.20      0.00      0.40      0.00      0.00     99.40
07:05:33 PM       1      0.20      0.00      0.00      0.00      0.00     99.80
07:05:33 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
07:05:33 PM       3      0.00      0.00      0.40      0.00      0.00     99.60
07:05:33 PM       4      0.20      0.00      0.20      0.00      0.00     99.60
07:05:33 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:05:33 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:05:33 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
07:05:33 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
07:05:33 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
07:05:33 PM      10      0.00      0.00      0.40      0.00      0.00     99.60
07:05:33 PM      11      3.41      0.00      0.00     35.94      0.00     60.64
07:05:33 PM      12      3.42      0.00      0.20     22.13      0.00     74.25
07:05:33 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
07:05:33 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
07:05:33 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
07:05:33 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
07:05:33 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
07:05:33 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
07:05:33 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
07:05:33 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
07:05:33 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
07:05:33 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
07:05:33 PM      23      0.00      0.00      0.40      0.80      0.00     98.80
07:05:33 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
07:05:33 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
07:05:33 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
07:05:33 PM      27      0.00      0.00      0.00      0.00      0.00    100.00
