Timestamp,CPU,CPU MHz,module,event
2024-01-20 05:39:24,0,800.0,,N/A
2024-01-20 05:39:24,1,800.0,,N/A
2024-01-20 05:39:24,2,800.0,,N/A
2024-01-20 05:39:24,3,2100.0,,N/A
2024-01-20 05:39:24,4,800.0,,N/A
2024-01-20 05:39:24,5,800.0,,N/A
2024-01-20 05:39:24,6,800.0,,N/A
2024-01-20 05:39:24,7,800.0,,N/A
2024-01-20 05:39:24,8,2000.0,,N/A
2024-01-20 05:39:24,9,2000.0,,N/A
2024-01-20 05:39:24,10,2100.0,,N/A
2024-01-20 05:39:24,11,1023.411,,N/A
2024-01-20 05:39:24,12,800.0,,N/A
2024-01-20 05:39:24,13,800.0,,N/A
2024-01-20 05:39:24,14,1800.0,,N/A
2024-01-20 05:39:24,15,800.0,,N/A
2024-01-20 05:39:24,16,800.0,,N/A
2024-01-20 05:39:24,17,800.0,,N/A
2024-01-20 05:39:24,18,800.0,,N/A
2024-01-20 05:39:24,19,800.0,,N/A
2024-01-20 05:39:24,20,800.0,,N/A
2024-01-20 05:39:24,21,800.0,,N/A
2024-01-20 05:39:24,22,800.0,,N/A
2024-01-20 05:39:24,23,800.0,,N/A
2024-01-20 05:39:24,24,800.0,,N/A
2024-01-20 05:39:24,25,800.0,,N/A
2024-01-20 05:39:24,26,800.0,,N/A
2024-01-20 05:39:24,27,800.0,,N/A
2024-01-20 05:39:24,28,800.0,,N/A
2024-01-20 05:39:24,29,1900.0,,N/A
2024-01-20 05:39:24,30,1800.0,,N/A
2024-01-20 05:39:24,31,800.0,,N/A
2024-01-20 05:39:29,0,1469.482,,N/A
2024-01-20 05:39:29,1,800.0,,N/A
2024-01-20 05:39:29,2,2000.0,,N/A
2024-01-20 05:39:29,3,800.0,,N/A
2024-01-20 05:39:29,4,800.0,,N/A
2024-01-20 05:39:29,5,800.0,,N/A
2024-01-20 05:39:29,6,800.0,,N/A
2024-01-20 05:39:29,7,800.0,,N/A
2024-01-20 05:39:29,8,1264.085,,N/A
2024-01-20 05:39:29,9,2000.0,,N/A
2024-01-20 05:39:29,10,3200.0,,N/A
2024-01-20 05:39:29,11,1100.0,,N/A
2024-01-20 05:39:29,12,800.0,,N/A
2024-01-20 05:39:29,13,800.0,,N/A
2024-01-20 05:39:29,14,800.0,,N/A
2024-01-20 05:39:29,15,1000.0,,N/A
2024-01-20 05:39:29,16,800.0,,N/A
2024-01-20 05:39:29,17,800.0,,N/A
2024-01-20 05:39:29,18,800.0,,N/A
2024-01-20 05:39:29,19,800.0,,N/A
2024-01-20 05:39:29,20,800.0,,N/A
2024-01-20 05:39:29,21,800.0,,N/A
2024-01-20 05:39:29,22,800.0,,N/A
2024-01-20 05:39:29,23,800.0,,N/A
2024-01-20 05:39:29,24,800.0,,N/A
2024-01-20 05:39:29,25,2100.0,,N/A
2024-01-20 05:39:29,26,2135.144,,N/A
2024-01-20 05:39:29,27,800.0,,N/A
2024-01-20 05:39:29,28,2000.0,,N/A
2024-01-20 05:39:29,29,800.0,,N/A
2024-01-20 05:39:29,30,900.0,,N/A
2024-01-20 05:39:29,31,2978.55,,N/A
2024-01-20 05:39:34,0,2100.0,topoaa,start
2024-01-20 05:39:34,1,800.0,topoaa,start
2024-01-20 05:39:34,2,800.0,topoaa,start
2024-01-20 05:39:34,3,1500.0,topoaa,start
2024-01-20 05:39:34,4,800.0,topoaa,start
2024-01-20 05:39:34,5,800.0,topoaa,start
2024-01-20 05:39:34,6,2100.0,topoaa,start
2024-01-20 05:39:34,7,800.0,topoaa,start
2024-01-20 05:39:34,8,800.0,topoaa,start
2024-01-20 05:39:34,9,800.0,topoaa,start
2024-01-20 05:39:34,10,3115.977,topoaa,start
2024-01-20 05:39:34,11,800.0,topoaa,start
2024-01-20 05:39:34,12,1500.0,topoaa,start
2024-01-20 05:39:34,13,800.0,topoaa,start
2024-01-20 05:39:34,14,800.0,topoaa,start
2024-01-20 05:39:34,15,800.0,topoaa,start
2024-01-20 05:39:34,16,800.0,topoaa,start
2024-01-20 05:39:34,17,2700.0,topoaa,start
2024-01-20 05:39:34,18,800.0,topoaa,start
2024-01-20 05:39:34,19,800.0,topoaa,start
2024-01-20 05:39:34,20,1649.309,topoaa,start
2024-01-20 05:39:34,21,1900.0,topoaa,start
2024-01-20 05:39:34,22,2800.0,topoaa,start
2024-01-20 05:39:34,23,800.0,topoaa,start
2024-01-20 05:39:34,24,800.0,topoaa,start
2024-01-20 05:39:34,25,800.0,topoaa,start
2024-01-20 05:39:34,26,800.0,topoaa,start
2024-01-20 05:39:34,27,3112.975,topoaa,start
2024-01-20 05:39:34,28,800.0,topoaa,start
2024-01-20 05:39:34,29,800.0,topoaa,start
2024-01-20 05:39:34,30,800.0,topoaa,start
2024-01-20 05:39:34,31,800.0,topoaa,start
2024-01-20 05:39:39,0,800.0,topoaa,finish
2024-01-20 05:39:39,1,800.0,topoaa,finish
2024-01-20 05:39:39,2,800.0,topoaa,finish
2024-01-20 05:39:39,3,800.0,topoaa,finish
2024-01-20 05:39:39,4,800.0,topoaa,finish
2024-01-20 05:39:39,5,2000.0,topoaa,finish
2024-01-20 05:39:39,6,800.0,topoaa,finish
2024-01-20 05:39:39,7,800.0,topoaa,finish
2024-01-20 05:39:39,8,800.0,topoaa,finish
2024-01-20 05:39:39,9,1200.0,topoaa,finish
2024-01-20 05:39:39,10,800.0,topoaa,finish
2024-01-20 05:39:39,11,800.0,topoaa,finish
2024-01-20 05:39:39,12,800.0,topoaa,finish
2024-01-20 05:39:39,13,800.0,topoaa,finish
2024-01-20 05:39:39,14,800.0,topoaa,finish
2024-01-20 05:39:39,15,800.0,topoaa,finish
2024-01-20 05:39:39,16,800.0,topoaa,finish
2024-01-20 05:39:39,17,800.0,topoaa,finish
2024-01-20 05:39:39,18,2000.0,topoaa,finish
2024-01-20 05:39:39,19,2000.0,topoaa,finish
2024-01-20 05:39:39,20,1281.96,topoaa,finish
