Timestamp,CPU,CPU MHz
2024-01-20T05:39:24,0,800.0
2024-01-20T05:39:24,1,800.0
2024-01-20T05:39:24,2,800.0
2024-01-20T05:39:24,3,2100.0
2024-01-20T05:39:24,4,800.0
2024-01-20T05:39:24,5,800.0
2024-01-20T05:39:24,6,800.0
2024-01-20T05:39:24,7,800.0
2024-01-20T05:39:24,8,2000.0
2024-01-20T05:39:24,9,2000.0
2024-01-20T05:39:24,10,2100.0
2024-01-20T05:39:24,11,1023.411
2024-01-20T05:39:24,12,800.0
2024-01-20T05:39:24,13,800.0
2024-01-20T05:39:24,14,1800.0
2024-01-20T05:39:24,15,800.0
2024-01-20T05:39:24,16,800.0
2024-01-20T05:39:24,17,800.0
2024-01-20T05:39:24,18,800.0
2024-01-20T05:39:24,19,800.0
2024-01-20T05:39:24,20,800.0
2024-01-20T05:39:24,21,800.0
2024-01-20T05:39:24,22,800.0
2024-01-20T05:39:24,23,800.0
2024-01-20T05:39:24,24,800.0
2024-01-20T05:39:24,25,800.0
2024-01-20T05:39:24,26,800.0
2024-01-20T05:39:24,27,800.0
2024-01-20T05:39:24,28,800.0
2024-01-20T05:39:24,29,1900.0
2024-01-20T05:39:24,30,1800.0
2024-01-20T05:39:24,31,800.0
2024-01-20T05:39:29,0,1469.482
2024-01-20T05:39:29,1,800.0
2024-01-20T05:39:29,2,2000.0
2024-01-20T05:39:29,3,800.0
2024-01-20T05:39:29,4,800.0
2024-01-20T05:39:29,5,800.0
2024-01-20T05:39:29,6,800.0
2024-01-20T05:39:29,7,800.0
2024-01-20T05:39:29,8,1264.085
2024-01-20T05:39:29,9,2000.0
2024-01-20T05:39:29,10,3200.0
2024-01-20T05:39:29,11,1100.0
2024-01-20T05:39:29,12,800.0
2024-01-20T05:39:29,13,800.0
2024-01-20T05:39:29,14,800.0
2024-01-20T05:39:29,15,1000.0
2024-01-20T05:39:29,16,800.0
2024-01-20T05:39:29,17,800.0
2024-01-20T05:39:29,18,800.0
2024-01-20T05:39:29,19,800.0
2024-01-20T05:39:29,20,800.0
2024-01-20T05:39:29,21,800.0
2024-01-20T05:39:29,22,800.0
2024-01-20T05:39:29,23,800.0
2024-01-20T05:39:29,24,800.0
2024-01-20T05:39:29,25,2100.0
2024-01-20T05:39:29,26,2135.144
2024-01-20T05:39:29,27,800.0
2024-01-20T05:39:29,28,2000.0
2024-01-20T05:39:29,29,800.0
2024-01-20T05:39:29,30,900.0
2024-01-20T05:39:29,31,2978.55
2024-01-20T05:39:34,0,2100.0
2024-01-20T05:39:34,1,800.0
2024-01-20T05:39:34,2,800.0
2024-01-20T05:39:34,3,1500.0
2024-01-20T05:39:34,4,800.0
2024-01-20T05:39:34,5,800.0
2024-01-20T05:39:34,6,2100.0
2024-01-20T05:39:34,7,800.0
2024-01-20T05:39:34,8,800.0
2024-01-20T05:39:34,9,800.0
2024-01-20T05:39:34,10,3115.977
2024-01-20T05:39:34,11,800.0
2024-01-20T05:39:34,12,1500.0
2024-01-20T05:39:34,13,800.0
2024-01-20T05:39:34,14,800.0
2024-01-20T05:39:34,15,800.0
2024-01-20T05:39:34,16,800.0
2024-01-20T05:39:34,17,2700.0
2024-01-20T05:39:34,18,800.0
2024-01-20T05:39:34,19,800.0
2024-01-20T05:39:34,20,1649.309
2024-01-20T05:39:34,21,1900.0
2024-01-20T05:39:34,22,2800.0
2024-01-20T05:39:34,23,800.0
2024-01-20T05:39:34,24,800.0
2024-01-20T05:39:34,25,800.0
2024-01-20T05:39:34,26,800.0
2024-01-20T05:39:34,27,3112.975
2024-01-20T05:39:34,28,800.0
2024-01-20T05:39:34,29,800.0
2024-01-20T05:39:34,30,800.0
2024-01-20T05:39:34,31,800.0
2024-01-20T05:39:39,0,800.0
2024-01-20T05:39:39,1,800.0
2024-01-20T05:39:39,2,800.0
2024-01-20T05:39:39,3,800.0
2024-01-20T05:39:39,4,800.0
2024-01-20T05:39:39,5,2000.0
2024-01-20T05:39:39,6,800.0
2024-01-20T05:39:39,7,800.0
2024-01-20T05:39:39,8,800.0
2024-01-20T05:39:39,9,1200.0
2024-01-20T05:39:39,10,800.0
2024-01-20T05:39:39,11,800.0
2024-01-20T05:39:39,12,800.0
2024-01-20T05:39:39,13,800.0
2024-01-20T05:39:39,14,800.0
2024-01-20T05:39:39,15,800.0
2024-01-20T05:39:39,16,800.0
2024-01-20T05:39:39,17,800.0
2024-01-20T05:39:39,18,2000.0
2024-01-20T05:39:39,19,2000.0
2024-01-20T05:39:39,20,1281.96
2024-01-20T05:39:39,21,1900.0
2024-01-20T05:39:39,22,2000.0
2024-01-20T05:39:39,23,1500.0
2024-01-20T05:39:39,24,800.0
2024-01-20T05:39:39,25,800.0
2024-01-20T05:39:39,26,800.0
2024-01-20T05:39:39,27,800.0
2024-01-20T05:39:39,28,800.0
2024-01-20T05:39:39,29,800.0
2024-01-20T05:39:39,30,800.0
2024-01-20T05:39:39,31,3199.172
2024-01-20T05:39:44,0,800.0
2024-01-20T05:39:44,1,800.0
2024-01-20T05:39:44,2,2100.0
2024-01-20T05:39:44,3,2100.0
2024-01-20T05:39:44,4,800.0
2024-01-20T05:39:44,5,800.0
2024-01-20T05:39:44,6,800.0
2024-01-20T05:39:44,7,800.0
2024-01-20T05:39:44,8,800.0
2024-01-20T05:39:44,9,800.0
2024-01-20T05:39:44,10,800.0
2024-01-20T05:39:44,11,2175.754
2024-01-20T05:39:44,12,800.0
2024-01-20T05:39:44,13,800.0
2024-01-20T05:39:44,14,800.0
2024-01-20T05:39:44,15,800.0
2024-01-20T05:39:44,16,800.0
2024-01-20T05:39:44,17,800.0
2024-01-20T05:39:44,18,800.0
2024-01-20T05:39:44,19,800.0
2024-01-20T05:39:44,20,1493.218
2024-01-20T05:39:44,21,2100.0
2024-01-20T05:39:44,22,800.0
2024-01-20T05:39:44,23,1500.0
2024-01-20T05:39:44,24,800.0
2024-01-20T05:39:44,25,800.0
2024-01-20T05:39:44,26,800.0
2024-01-20T05:39:44,27,800.0
2024-01-20T05:39:44,28,800.0
2024-01-20T05:39:44,29,800.0
2024-01-20T05:39:44,30,800.0
2024-01-20T05:39:44,31,1551.894
2024-01-20T05:39:49,0,800.0
2024-01-20T05:39:49,1,800.0
2024-01-20T05:39:49,2,2000.0
2024-01-20T05:39:49,3,800.0
2024-01-20T05:39:49,4,800.0
2024-01-20T05:39:49,5,800.0
2024-01-20T05:39:49,6,800.0
2024-01-20T05:39:49,7,800.0
2024-01-20T05:39:49,8,800.0
2024-01-20T05:39:49,9,800.0
2024-01-20T05:39:49,10,800.0
2024-01-20T05:39:49,11,800.0
2024-01-20T05:39:49,12,800.0
2024-01-20T05:39:49,13,800.0
2024-01-20T05:39:49,14,800.0
2024-01-20T05:39:49,15,800.0
2024-01-20T05:39:49,16,800.0
2024-01-20T05:39:49,17,800.0
2024-01-20T05:39:49,18,800.0
2024-01-20T05:39:49,19,800.0
2024-01-20T05:39:49,20,1716.076
2024-01-20T05:39:49,21,2100.0
2024-01-20T05:39:49,22,800.0
2024-01-20T05:39:49,23,800.0
2024-01-20T05:39:49,24,800.0
2024-01-20T05:39:49,25,800.0
2024-01-20T05:39:49,26,800.0
2024-01-20T05:39:49,27,800.0
2024-01-20T05:39:49,28,800.0
2024-01-20T05:39:49,29,800.0
2024-01-20T05:39:49,30,800.0
2024-01-20T05:39:49,31,800.0
2024-01-20T05:39:54,0,3200.0
2024-01-20T05:39:54,1,800.0
2024-01-20T05:39:54,2,2000.0
2024-01-20T05:39:54,3,800.0
2024-01-20T05:39:54,4,800.0
2024-01-20T05:39:54,5,853.544
2024-01-20T05:39:54,6,800.0
2024-01-20T05:39:54,7,800.0
2024-01-20T05:39:54,8,800.0
2024-01-20T05:39:54,9,3200.0
2024-01-20T05:39:54,10,800.0
2024-01-20T05:39:54,11,800.0
2024-01-20T05:39:54,12,800.0
2024-01-20T05:39:54,13,800.0
2024-01-20T05:39:54,14,800.0
2024-01-20T05:39:54,15,800.0
2024-01-20T05:39:54,16,800.0
2024-01-20T05:39:54,17,800.0
2024-01-20T05:39:54,18,800.0
2024-01-20T05:39:54,19,2000.0
2024-01-20T05:39:54,20,1488.199
2024-01-20T05:39:54,21,800.0
2024-01-20T05:39:54,22,800.0
2024-01-20T05:39:54,23,800.0
2024-01-20T05:39:54,24,800.0
2024-01-20T05:39:54,25,800.0
2024-01-20T05:39:54,26,800.0
2024-01-20T05:39:54,27,800.0
2024-01-20T05:39:54,28,800.0
2024-01-20T05:39:54,29,800.0
2024-01-20T05:39:54,30,800.0
2024-01-20T05:39:54,31,800.018
2024-01-20T05:39:59,0,3200.0
2024-01-20T05:39:59,1,800.0
2024-01-20T05:39:59,2,2000.0
2024-01-20T05:39:59,3,2100.0
2024-01-20T05:39:59,4,800.0
2024-01-20T05:39:59,5,800.0
2024-01-20T05:39:59,6,800.0
2024-01-20T05:39:59,7,800.0
2024-01-20T05:39:59,8,800.0
2024-01-20T05:39:59,9,3200.0
2024-01-20T05:39:59,10,800.0
2024-01-20T05:39:59,11,2100.0
2024-01-20T05:39:59,12,800.0
2024-01-20T05:39:59,13,800.0
2024-01-20T05:39:59,14,800.0
2024-01-20T05:39:59,15,800.0
2024-01-20T05:39:59,16,800.0
2024-01-20T05:39:59,17,800.0
2024-01-20T05:39:59,18,800.0
2024-01-20T05:39:59,19,800.0
2024-01-20T05:39:59,20,800.0
2024-01-20T05:39:59,21,1258.676
2024-01-20T05:39:59,22,892.212
2024-01-20T05:39:59,23,800.0
2024-01-20T05:39:59,24,800.0
2024-01-20T05:39:59,25,800.0
2024-01-20T05:39:59,26,800.0
2024-01-20T05:39:59,27,800.0
2024-01-20T05:39:59,28,800.0
2024-01-20T05:39:59,29,800.0
2024-01-20T05:39:59,30,800.0
2024-01-20T05:39:59,31,800.0
2024-01-20T05:40:05,0,800.0
2024-01-20T05:40:05,1,800.0
2024-01-20T05:40:05,2,2100.0
2024-01-20T05:40:05,3,800.0
2024-01-20T05:40:05,4,805.047
2024-01-20T05:40:05,5,800.0
2024-01-20T05:40:05,6,800.0
2024-01-20T05:40:05,7,800.0
2024-01-20T05:40:05,8,800.0
2024-01-20T05:40:05,9,800.0
2024-01-20T05:40:05,10,800.0
2024-01-20T05:40:05,11,800.0
2024-01-20T05:40:05,12,800.0
2024-01-20T05:40:05,13,800.0
2024-01-20T05:40:05,14,800.0
2024-01-20T05:40:05,15,800.0
2024-01-20T05:40:05,16,800.0
2024-01-20T05:40:05,17,800.0
2024-01-20T05:40:05,18,800.0
2024-01-20T05:40:05,19,800.0
2024-01-20T05:40:05,20,800.0
2024-01-20T05:40:05,21,1900.0
2024-01-20T05:40:05,22,800.0
2024-01-20T05:40:05,23,800.0
2024-01-20T05:40:05,24,800.0
2024-01-20T05:40:05,25,800.0
2024-01-20T05:40:05,26,2000.0
2024-01-20T05:40:05,27,800.0
2024-01-20T05:40:05,28,800.0
2024-01-20T05:40:05,29,800.0
2024-01-20T05:40:05,30,800.0
2024-01-20T05:40:05,31,800.0
2024-01-20T05:40:10,0,800.0
2024-01-20T05:40:10,1,800.0
2024-01-20T05:40:10,2,2000.0
2024-01-20T05:40:10,3,1500.0
2024-01-20T05:40:10,4,804.734
2024-01-20T05:40:10,5,2000.0
2024-01-20T05:40:10,6,800.0
2024-01-20T05:40:10,7,800.0
2024-01-20T05:40:10,8,800.0
2024-01-20T05:40:10,9,800.0
2024-01-20T05:40:10,10,800.0
2024-01-20T05:40:10,11,800.0
2024-01-20T05:40:10,12,800.0
2024-01-20T05:40:10,13,800.0
2024-01-20T05:40:10,14,800.0
2024-01-20T05:40:10,15,800.0
2024-01-20T05:40:10,16,800.0
2024-01-20T05:40:10,17,800.0
2024-01-20T05:40:10,18,800.0
2024-01-20T05:40:10,19,800.0
2024-01-20T05:40:10,20,800.0
2024-01-20T05:40:10,21,800.0
2024-01-20T05:40:10,22,800.0
2024-01-20T05:40:10,23,800.0
2024-01-20T05:40:10,24,2200.0
2024-01-20T05:40:10,25,800.0
2024-01-20T05:40:10,26,800.0
2024-01-20T05:40:10,27,800.0
2024-01-20T05:40:10,28,800.0
2024-01-20T05:40:10,29,800.0
2024-01-20T05:40:10,30,800.0
2024-01-20T05:40:10,31,800.0
2024-01-20T05:40:15,0,800.0
2024-01-20T05:40:15,1,800.0
2024-01-20T05:40:15,2,800.0
2024-01-20T05:40:15,3,800.0
2024-01-20T05:40:15,4,800.0
2024-01-20T05:40:15,5,800.0
2024-01-20T05:40:15,6,800.0
2024-01-20T05:40:15,7,800.0
2024-01-20T05:40:15,8,800.0
2024-01-20T05:40:15,9,2100.0
2024-01-20T05:40:15,10,800.0
2024-01-20T05:40:15,11,800.0
2024-01-20T05:40:15,12,800.0
2024-01-20T05:40:15,13,800.0
2024-01-20T05:40:15,14,800.0
2024-01-20T05:40:15,15,2100.0
2024-01-20T05:40:15,16,800.0
2024-01-20T05:40:15,17,800.0
2024-01-20T05:40:15,18,2100.0
2024-01-20T05:40:15,19,800.0
2024-01-20T05:40:15,20,1481.259
2024-01-20T05:40:15,21,2100.0
2024-01-20T05:40:15,22,800.0
2024-01-20T05:40:15,23,800.0
2024-01-20T05:40:15,24,800.0
2024-01-20T05:40:15,25,800.0
2024-01-20T05:40:15,26,800.0
2024-01-20T05:40:15,27,800.0
2024-01-20T05:40:15,28,800.0
2024-01-20T05:40:15,29,800.0
2024-01-20T05:40:15,30,800.0
2024-01-20T05:40:15,31,807.897
2024-01-20T05:40:20,0,800.0
2024-01-20T05:40:20,1,800.0
2024-01-20T05:40:20,2,2100.0
2024-01-20T05:40:20,3,800.0
2024-01-20T05:40:20,4,1310.031
2024-01-20T05:40:20,5,800.0
2024-01-20T05:40:20,6,800.0
2024-01-20T05:40:20,7,800.0
2024-01-20T05:40:20,8,800.0
2024-01-20T05:40:20,9,800.0
2024-01-20T05:40:20,10,800.0
2024-01-20T05:40:20,11,800.0
2024-01-20T05:40:20,12,800.0
2024-01-20T05:40:20,13,800.0
2024-01-20T05:40:20,14,800.0
2024-01-20T05:40:20,15,800.0
2024-01-20T05:40:20,16,800.0
2024-01-20T05:40:20,17,800.0
2024-01-20T05:40:20,18,800.0
2024-01-20T05:40:20,19,800.0
2024-01-20T05:40:20,20,800.0
2024-01-20T05:40:20,21,1900.0
2024-01-20T05:40:20,22,1500.0
2024-01-20T05:40:20,23,800.0
2024-01-20T05:40:20,24,800.0
2024-01-20T05:40:20,25,800.0
2024-01-20T05:40:20,26,800.0
2024-01-20T05:40:20,27,800.0
2024-01-20T05:40:20,28,800.0
2024-01-20T05:40:20,29,800.0
2024-01-20T05:40:20,30,800.0
2024-01-20T05:40:20,31,800.195
2024-01-20T05:40:25,0,800.0
2024-01-20T05:40:25,1,800.0
2024-01-20T05:40:25,2,800.0
2024-01-20T05:40:25,3,2100.0
2024-01-20T05:40:25,4,834.045
2024-01-20T05:40:25,5,800.0
2024-01-20T05:40:25,6,800.0
2024-01-20T05:40:25,7,800.0
2024-01-20T05:40:25,8,800.0
2024-01-20T05:40:25,9,800.0
2024-01-20T05:40:25,10,800.0
2024-01-20T05:40:25,11,800.0
2024-01-20T05:40:25,12,800.0
2024-01-20T05:40:25,13,800.0
2024-01-20T05:40:25,14,800.0
2024-01-20T05:40:25,15,800.0
2024-01-20T05:40:25,16,800.0
2024-01-20T05:40:25,17,800.0
2024-01-20T05:40:25,18,2100.0
2024-01-20T05:40:25,19,800.0
2024-01-20T05:40:25,20,800.0
2024-01-20T05:40:25,21,1900.0
2024-01-20T05:40:25,22,800.0
2024-01-20T05:40:25,23,800.0
2024-01-20T05:40:25,24,800.0
2024-01-20T05:40:25,25,800.0
2024-01-20T05:40:25,26,800.0
2024-01-20T05:40:25,27,800.0
2024-01-20T05:40:25,28,800.0
2024-01-20T05:40:25,29,800.0
2024-01-20T05:40:25,30,800.0
2024-01-20T05:40:25,31,800.0
2024-01-20T05:40:30,0,800.0
2024-01-20T05:40:30,1,800.0
2024-01-20T05:40:30,2,800.0
2024-01-20T05:40:30,3,1500.0
2024-01-20T05:40:30,4,1257.561
2024-01-20T05:40:30,5,800.0
2024-01-20T05:40:30,6,800.0
2024-01-20T05:40:30,7,800.0
