Linux 5.15.0-87-generic (gl6) 	01/31/2024 	_x86_64_	(32 CPU)

02:12:47 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:12:52 PM     all      3.71      0.00      4.26      0.12      0.00     91.91
02:12:52 PM       0      0.80      0.00      4.81      0.00      0.00     94.39
02:12:52 PM       1      0.40      0.00      4.62      0.00      0.00     94.98
02:12:52 PM       2      0.40      0.00      4.80      0.00      0.00     94.80
02:12:52 PM       3      0.80      0.00      4.39      0.00      0.00     94.81
02:12:52 PM       4      1.00      0.00      4.01      0.00      0.00     94.99
02:12:52 PM       5      1.00      0.00      4.20      0.00      0.00     94.80
02:12:52 PM       6      1.60      0.00      4.01      0.00      0.00     94.39
02:12:52 PM       7      1.00      0.00      4.01      0.00      0.00     94.99
02:12:52 PM       8      1.00      0.00      4.19      0.00      0.00     94.81
02:12:52 PM       9     88.40      0.00      2.00      0.20      0.00      9.40
02:12:52 PM      10      0.60      0.00      4.60      0.00      0.00     94.80
02:12:52 PM      11      0.80      0.00      4.40      0.00      0.00     94.80
02:12:52 PM      12      1.00      0.00      4.01      0.00      0.00     94.99
02:12:52 PM      13      1.20      0.00      3.99      0.00      0.00     94.81
02:12:52 PM      14      1.20      0.00      3.99      0.00      0.00     94.81
02:12:52 PM      15      1.00      0.00      4.19      0.00      0.00     94.81
02:12:52 PM      16      0.80      0.00      4.58      0.00      0.00     94.62
02:12:52 PM      17      1.00      0.00      4.01      0.00      0.00     94.99
02:12:52 PM      18      0.60      0.00      4.41      3.61      0.00     91.38
02:12:52 PM      19      1.00      0.00      4.20      0.00      0.00     94.80
02:12:52 PM      20      0.60      0.00      4.78      0.00      0.00     94.62
02:12:52 PM      21      3.20      0.00      5.20      0.00      0.00     91.60
02:12:52 PM      22      1.00      0.00      4.20      0.00      0.00     94.80
02:12:52 PM      23      1.40      0.00      4.20      0.00      0.00     94.40
02:12:52 PM      24      0.60      0.00      4.60      0.00      0.00     94.80
02:12:52 PM      25      1.00      0.00      4.20      0.00      0.00     94.80
02:12:52 PM      26      0.80      0.00      4.20      0.00      0.00     95.00
02:12:52 PM      27      1.00      0.00      4.19      0.00      0.00     94.81
02:12:52 PM      28      1.20      0.00      4.18      0.00      0.00     94.62
02:12:52 PM      29      0.60      0.00      4.60      0.00      0.00     94.80
02:12:52 PM      30      0.80      0.00      4.40      0.00      0.00     94.80
02:12:52 PM      31      0.80      0.00      4.20      0.00      0.00     95.00

02:12:52 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:12:57 PM     all      1.37      0.00      0.09      0.86      0.00     97.68
02:12:57 PM       0      0.00      0.00      0.40      0.00      0.00     99.60
02:12:57 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
02:12:57 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:12:57 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:12:57 PM       4      0.00      0.00      0.20      0.00      0.00     99.80
02:12:57 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:12:57 PM       6      0.00      0.00      0.20      0.00      0.00     99.80
02:12:57 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
02:12:57 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
02:12:57 PM       9     25.40      0.00      0.40     23.99      0.00     50.20
02:12:57 PM      10      0.00      0.00      0.20      0.00      0.00     99.80
