Linux 5.15.0-87-generic (gl6) 	02/01/2024 	_x86_64_	(32 CPU)

06:14:15 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:14:20 AM     all      3.70      0.00      4.22      0.14      0.00     91.94
06:14:20 AM       0      0.80      0.00      4.61      0.00      0.00     94.59
06:14:20 AM       1      0.80      0.00      4.40      0.00      0.00     94.80
06:14:20 AM       2      0.80      0.00      4.40      0.00      0.00     94.80
06:14:20 AM       3      1.00      0.00      4.20      0.00      0.00     94.80
06:14:20 AM       4      1.00      0.00      4.20      0.00      0.00     94.80
06:14:20 AM       5      0.80      0.00      4.21      0.00      0.00     94.99
06:14:20 AM       6      0.60      0.00      4.41      1.40      0.00     93.59
06:14:20 AM       7      0.80      0.00      4.22      0.00      0.00     94.98
06:14:20 AM       8      0.80      0.00      4.20      0.00      0.00     95.00
06:14:20 AM       9     88.42      0.00      1.60      0.20      0.00      9.78
06:14:20 AM      10      1.00      0.00      4.20      0.00      0.00     94.80
06:14:20 AM      11      0.80      0.00      4.59      0.00      0.00     94.61
06:14:20 AM      12      0.60      0.00      4.60      0.00      0.00     94.80
06:14:20 AM      13      1.20      0.00      4.19      0.00      0.00     94.61
06:14:20 AM      14      1.00      0.00      4.20      0.00      0.00     94.80
06:14:20 AM      15      1.00      0.00      4.19      0.00      0.00     94.81
06:14:20 AM      16      1.00      0.00      4.20      0.00      0.00     94.80
06:14:20 AM      17      1.00      0.00      4.38      0.00      0.00     94.62
06:14:20 AM      18      0.80      0.00      4.79      0.00      0.00     94.41
06:14:20 AM      19      1.00      0.00      4.01      0.00      0.00     94.99
06:14:20 AM      20      0.60      0.00      4.60      0.00      0.00     94.80
06:14:20 AM      21      3.21      0.00      4.81      0.00      0.00     91.98
06:14:20 AM      22      0.80      0.00      4.40      0.00      0.00     94.80
06:14:20 AM      23      0.80      0.00      4.22      3.01      0.00     91.97
06:14:20 AM      24      0.80      0.00      4.20      0.00      0.00     95.00
06:14:20 AM      25      1.00      0.00      4.39      0.00      0.00     94.61
06:14:20 AM      26      0.40      0.00      4.61      0.00      0.00     94.99
06:14:20 AM      27      1.20      0.00      3.80      0.00      0.00     95.00
06:14:20 AM      28      0.80      0.00      4.21      0.00      0.00     94.99
06:14:20 AM      29      1.40      0.00      3.79      0.00      0.00     94.81
06:14:20 AM      30      1.20      0.00      3.81      0.00      0.00     94.99
06:14:20 AM      31      0.80      0.00      4.40      0.00      0.00     94.80

06:14:20 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:14:25 AM     all      1.39      0.00      0.31      0.75      0.00     97.55
06:14:25 AM       0      0.20      0.00      0.20      0.00      0.00     99.60
06:14:25 AM       1      0.00      0.00      0.20      0.00      0.00     99.80
06:14:25 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM       3      0.00      0.00      3.61      0.00      0.00     96.39
06:14:25 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM       5      0.00      0.00      3.20      0.00      0.00     96.80
06:14:25 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM       9     24.30      0.00      0.60     18.07      0.00     57.03
06:14:25 AM      10      0.40      0.00      0.20      2.99      0.00     96.41
06:14:25 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM      14      9.78      0.00      0.40      1.40      0.00     88.42
06:14:25 AM      15      0.00      0.00      0.20      0.00      0.00     99.80
06:14:25 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM      18      0.00      0.00      0.60      0.00      0.00     99.40
06:14:25 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM      28      9.80      0.00      0.60      1.60      0.00     88.00
06:14:25 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
06:14:25 AM      31      0.00      0.00      0.00      0.00      0.00    100.00

06:14:25 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:14:30 AM     all      3.91      0.00      0.07      0.46      0.00     95.56
06:14:30 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM       2      0.00      0.00      0.20      0.40      0.00     99.40
06:14:30 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM       6      0.00      0.00      0.20      0.00      0.00     99.80
06:14:30 AM       7      0.00      0.00      0.20      0.00      0.00     99.80
06:14:30 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM      10      8.02      0.00      0.40      1.60      0.00     89.98
06:14:30 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM      13      0.40      0.00      0.20      0.80      0.00     98.60
06:14:30 AM      14     39.03      0.00      0.00      5.23      0.00     55.73
06:14:30 AM      15      0.40      0.00      0.00      1.00      0.00     98.60
06:14:30 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM      18      0.00      0.00      0.40      0.00      0.00     99.60
06:14:30 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM      22      0.00      0.00      0.20      0.00      0.00     99.80
06:14:30 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM      28     77.60      0.00      0.40      5.60      0.00     16.40
06:14:30 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
06:14:30 AM      31      0.00      0.00      0.00      0.00      0.00    100.00

