Linux 5.15.0-91-generic (gl5) 	01/24/2024 	_x86_64_	(32 CPU)

07:08:00 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:08:05 PM     all      3.71      0.00      4.26      0.11      0.00     91.91
07:08:05 PM       0      3.41      0.00      5.01      0.00      0.00     91.58
07:08:05 PM       1      1.20      0.00      4.38      0.00      0.00     94.42
07:08:05 PM       2      0.80      0.00      4.42      0.00      0.00     94.78
07:08:05 PM       3      0.60      0.00      4.60      0.00      0.00     94.80
07:08:05 PM       4      0.60      0.00      4.81      3.41      0.00     91.18
07:08:05 PM       5      0.60      0.00      4.41      0.00      0.00     94.99
07:08:05 PM       6      0.40      0.00      4.61      0.00      0.00     94.99
07:08:05 PM       7      0.60      0.00      5.01      0.00      0.00     94.39
07:08:05 PM       8      1.00      0.00      4.00      0.00      0.00     95.00
07:08:05 PM       9     88.80      0.00      1.80      0.20      0.00      9.20
07:08:05 PM      10      0.60      0.00      4.41      0.00      0.00     94.99
07:08:05 PM      11      1.20      0.00      4.00      0.00      0.00     94.80
07:08:05 PM      12      0.80      0.00      4.40      0.00      0.00     94.80
07:08:05 PM      13      1.20      0.00      4.00      0.00      0.00     94.80
07:08:05 PM      14      0.80      0.00      4.40      0.00      0.00     94.80
07:08:05 PM      15      1.00      0.00      4.20      0.00      0.00     94.80
07:08:05 PM      16      1.00      0.00      4.21      0.00      0.00     94.79
07:08:05 PM      17      1.20      0.00      4.20      0.00      0.00     94.60
07:08:05 PM      18      1.20      0.00      4.20      0.00      0.00     94.60
07:08:05 PM      19      0.60      0.00      4.61      0.00      0.00     94.79
07:08:05 PM      20      1.20      0.00      3.99      0.00      0.00     94.81
07:08:05 PM      21      1.00      0.00      4.39      0.00      0.00     94.61
07:08:05 PM      22      0.80      0.00      4.01      0.00      0.00     95.19
07:08:05 PM      23      0.60      0.00      4.60      0.00      0.00     94.80
07:08:05 PM      24      1.00      0.00      4.01      0.00      0.00     94.99
07:08:05 PM      25      1.00      0.00      4.00      0.00      0.00     95.00
07:08:05 PM      26      1.20      0.00      4.39      0.00      0.00     94.41
07:08:05 PM      27      0.80      0.00      4.40      0.00      0.00     94.80
07:08:05 PM      28      0.60      0.00      4.40      0.00      0.00     95.00
07:08:05 PM      29      1.40      0.00      3.99      0.00      0.00     94.61
07:08:05 PM      30      0.80      0.00      4.20      0.00      0.00     95.00
07:08:05 PM      31      0.80      0.00      4.40      0.00      0.00     94.80

07:08:05 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:08:10 PM     all      0.94      0.00      0.13      0.91      0.00     98.02
07:08:10 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:08:10 PM       1      0.00      0.00      0.20      0.00      0.00     99.80
07:08:10 PM       2      0.00      0.00      0.40      0.00      0.00     99.60
07:08:10 PM       3      0.00      0.00      0.20      0.00      0.00     99.80
07:08:10 PM       4      0.00      0.00      0.20      0.00      0.00     99.80
07:08:10 PM       5      0.00      0.00      0.20      0.00      0.00     99.80
07:08:10 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:08:10 PM       7      0.20      0.00      0.20      0.00      0.00     99.60
07:08:10 PM       8      2.60      0.00      0.60      2.00      0.00     94.80
07:08:10 PM       9     24.45      0.00      0.80     24.45      0.00     50.30
07:08:10 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
07:08:10 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
07:08:10 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
07:08:10 PM      13      2.40      0.00      0.40      2.79      0.00     94.41
07:08:10 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
07:08:10 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
07:08:10 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
07:08:10 PM      17      0.00      0.00      0.20      0.00      0.00     99.80
07:08:10 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
07:08:10 PM      19      0.40      0.00      0.20      0.00      0.00     99.40
