Linux 5.15.30-2-pve (superserver2) 	02/01/2024 	_x86_64_	(32 CPU)

06:27:42 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:27:52 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
06:27:52 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
06:27:52 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
06:27:52 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
06:27:52 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
06:27:52 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
06:27:52 AM      25      0.00      0.00      0.40      0.00      0.00     99.60
06:27:52 AM      26      0.00      0.00      0.20      0.00      0.00     99.80
06:27:52 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
06:27:52 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
06:27:52 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
06:27:52 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
06:27:52 AM      31      0.00      0.00      0.00      0.00      0.00    100.00

06:27:52 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:27:57 AM     all      1.68      0.00      0.04      0.31      0.00     97.97
06:27:57 AM       0      0.20      0.00      0.40      0.00      0.00     99.40
06:27:57 AM       1      0.00      0.00      0.40      0.00      0.00     99.60
06:27:57 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM       4      0.80      0.00      0.20      0.00      0.00     99.00
06:27:57 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM       7      0.00      0.00      0.20      1.00      0.00     98.80
06:27:57 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM      10     20.24      0.00      0.00      6.61      0.00     73.15
06:27:57 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM      13     31.86      0.00      0.20      1.60      0.00     66.33
06:27:57 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM      15      0.20      0.00      0.00      0.00      0.00     99.80
06:27:57 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM      24      0.20      0.00      0.00      0.00      0.00     99.80
06:27:57 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM      26      0.20      0.00      0.00      0.60      0.00     99.20
06:27:57 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
06:27:57 AM      31      0.00      0.00      0.00      0.00      0.00    100.00

06:27:57 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:28:02 AM     all      0.23      0.00      0.06      0.46      0.00     99.26
06:28:02 AM       0      0.00      0.00      0.20      0.00      0.00     99.80
06:28:02 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM       2      0.40      0.00      0.20      0.00      0.00     99.40
06:28:02 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM       4      0.80      0.00      0.20      0.00      0.00     99.00
06:28:02 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM       7      0.00      0.00      0.00      0.40      0.00     99.60
06:28:02 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM      10      5.40      0.00      0.40     14.20      0.00     80.00
06:28:02 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM      15      0.00      0.00      0.20      0.00      0.00     99.80
06:28:02 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM      19      0.20      0.00      0.40      0.00      0.00     99.40
06:28:02 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM      21      0.00      0.00      0.20      0.00      0.00     99.80
06:28:02 AM      22      0.20      0.00      0.00      0.00      0.00     99.80
06:28:02 AM      23      0.20      0.00      0.00      0.00      0.00     99.80
06:28:02 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
06:28:02 AM      31      0.00      0.00      0.00      0.00      0.00    100.00

06:28:02 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:28:07 AM     all      0.19      0.00      0.08      0.36      0.00     99.38
06:28:07 AM       0      0.00      0.00      0.40      0.00      0.00     99.60
06:28:07 AM       1      0.20      0.00      0.00      0.00      0.00     99.80
06:28:07 AM       2      0.20      0.00      0.20      0.00      0.00     99.60
06:28:07 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
06:28:07 AM       4      0.40      0.00      0.20      0.00      0.00     99.40
06:28:07 AM       5      0.20      0.00      0.00      0.00      0.00     99.80
06:28:07 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
06:28:07 AM       7      0.00      0.00      0.40      1.00      0.00     98.60
06:28:07 AM       8      0.00      0.00      0.40      0.00      0.00     99.60
06:28:07 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
06:28:07 AM      10      4.43      0.00      0.20     10.46      0.00     84.91
06:28:07 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
06:28:07 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
06:28:07 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
06:28:07 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
06:28:07 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
06:28:07 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
06:28:07 AM      17      0.20      0.00      0.00      0.00      0.00     99.80
06:28:07 AM      18      0.00      0.00      0.20      0.00      0.00     99.80
06:28:07 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
06:28:07 AM      20      0.20      0.00      0.20      0.00      0.00     99.60
06:28:07 AM      21      0.20      0.00      0.00      0.00      0.00     99.80
06:28:07 AM      22      0.00      0.00      0.20      0.00      0.00     99.80
06:28:07 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
06:28:07 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
06:28:07 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
06:28:07 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
06:28:07 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
06:28:07 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
06:28:07 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
06:28:07 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
06:28:07 AM      31      0.00      0.00      0.00      0.00      0.00    100.00

06:28:07 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:28:12 AM     all      0.19      0.00      0.03      0.61      0.00     99.17
06:28:12 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM       4      0.40      0.00      0.20      0.00      0.00     99.40
06:28:12 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM       7      0.00      0.00      0.00      0.80      0.00     99.20
06:28:12 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM      10      5.42      0.00      0.00     18.88      0.00     75.70
06:28:12 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM      15      0.00      0.00      0.40      0.00      0.00     99.60
06:28:12 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM      18      0.20      0.00      0.00      0.00      0.00     99.80
06:28:12 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM      24      0.00      0.00      0.20      0.00      0.00     99.80
06:28:12 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM      29      0.20      0.00      0.00      0.00      0.00     99.80
06:28:12 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
06:28:12 AM      31      0.00      0.00      0.00      0.00      0.00    100.00

06:28:12 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:28:17 AM     all      0.18      0.00      0.09      0.48      0.00     99.26
06:28:17 AM       0      0.20      0.00      0.20      0.00      0.00     99.60
06:28:17 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
06:28:17 AM       2      0.20      0.00      0.20      0.00      0.00     99.60
06:28:17 AM       3      0.00      0.00      0.20      0.00      0.00     99.80
06:28:17 AM       4      0.20      0.00      0.00      0.00      0.00     99.80
06:28:17 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
06:28:17 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
06:28:17 AM       7      0.00      0.00      0.20      0.60      0.00     99.20
06:28:17 AM       8      0.00      0.00      0.40      0.00      0.00     99.60
06:28:17 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
06:28:17 AM      10      4.83      0.00      0.40     14.89      0.00     79.88
06:28:17 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
06:28:17 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
06:28:17 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
06:28:17 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
06:28:17 AM      15      0.00      0.00      0.60      0.00      0.00     99.40
06:28:17 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
06:28:17 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
06:28:17 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
06:28:17 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
06:28:17 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
06:28:17 AM      21      0.00      0.00      0.20      0.00      0.00     99.80
06:28:17 AM      22      0.00      0.00      0.20      0.00      0.00     99.80
06:28:17 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
06:28:17 AM      24      0.20      0.00      0.00      0.00      0.00     99.80
06:28:17 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
06:28:17 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
06:28:17 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
06:28:17 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
06:28:17 AM      29      0.00      0.00      0.20      0.00      0.00     99.80
06:28:17 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
06:28:17 AM      31      0.00      0.00      0.00      0.00      0.00    100.00

06:28:17 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:28:22 AM     all      0.18      0.00      0.03      0.61      0.00     99.18
06:28:22 AM       0      0.00      0.00      0.20      0.00      0.00     99.80
06:28:22 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM       4      0.20      0.00      0.20      0.00      0.00     99.60
06:28:22 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
