Timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
2024-01-21T00:37:00,3,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:00,4,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:00,5,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:00,6,0.0,0.0,0.4,0.0,0.0,99.6
2024-01-21T00:37:00,7,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:00,8,39.0,0.0,0.4,2.8,0.0,57.8
2024-01-21T00:37:00,9,0.4,0.0,0.0,0.6,0.0,99.0
2024-01-21T00:37:00,10,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:00,11,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:00,12,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:00,13,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:00,14,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:00,15,0.0,0.0,0.0,0.4,0.0,99.6
2024-01-21T00:37:00,16,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:00,17,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:00,18,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:00,19,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:00,20,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:00,21,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:00,22,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:00,23,0.0,0.0,0.4,0.0,0.0,99.6
2024-01-21T00:37:00,24,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:00,25,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:00,26,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:00,27,0.4,0.0,0.0,0.6,0.0,99.0
2024-01-21T00:37:00,28,79.4,0.0,0.2,4.6,0.0,15.8
2024-01-21T00:37:00,29,9.8,0.0,0.4,1.0,0.0,88.8
2024-01-21T00:37:00,30,0.4,0.0,0.2,0.0,0.0,99.4
