Linux 5.15.0-91-generic (gl5) 	01/31/2024 	_x86_64_	(32 CPU)

01:41:23 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:41:28 AM     all      3.71      0.00      4.35      0.13      0.00     91.81
01:41:28 AM       0      0.80      0.00      5.02      0.00      0.00     94.18
01:41:28 AM       1      1.00      0.00      4.40      0.00      0.00     94.60
01:41:28 AM       2      0.80      0.00      4.61      0.00      0.00     94.59
01:41:28 AM       3      0.80      0.00      4.60      0.00      0.00     94.60
01:41:28 AM       4      1.40      0.00      4.39      0.00      0.00     94.21
01:41:28 AM       5      0.80      0.00      4.40      0.00      0.00     94.80
01:41:28 AM       6      3.41      0.00      4.61      0.00      0.00     91.98
01:41:28 AM       7      0.60      0.00      4.41      0.00      0.00     94.99
01:41:28 AM       8      1.00      0.00      4.20      0.00      0.00     94.80
01:41:28 AM       9     89.60      0.00      1.60      0.00      0.00      8.80
01:41:28 AM      10      0.60      0.00      4.60      0.00      0.00     94.80
01:41:28 AM      11      1.20      0.00      4.00      0.00      0.00     94.80
01:41:28 AM      12      1.00      0.00      4.01      0.00      0.00     94.99
01:41:28 AM      13      1.20      0.00      4.18      0.00      0.00     94.62
01:41:28 AM      14      0.60      0.00      4.40      0.00      0.00     95.00
01:41:28 AM      15      1.20      0.00      4.00      0.00      0.00     94.80
01:41:28 AM      16      0.60      0.00      4.40      0.00      0.00     95.00
01:41:28 AM      17      0.80      0.00      4.40      0.00      0.00     94.80
01:41:28 AM      18      0.80      0.00      4.41      4.01      0.00     90.78
01:41:28 AM      19      0.80      0.00      4.40      0.00      0.00     94.80
01:41:28 AM      20      1.20      0.00      4.20      0.00      0.00     94.60
01:41:28 AM      21      0.20      0.00      5.00      0.00      0.00     94.80
01:41:28 AM      22      0.60      0.00      4.41      0.00      0.00     94.99
01:41:28 AM      23      1.00      0.00      4.40      0.00      0.00     94.60
01:41:28 AM      24      1.20      0.00      3.81      0.00      0.00     94.99
01:41:28 AM      25      0.80      0.00      4.40      0.00      0.00     94.80
01:41:28 AM      26      1.00      0.00      5.80      0.00      0.00     93.20
01:41:28 AM      27      1.00      0.00      4.20      0.00      0.00     94.80
01:41:28 AM      28      0.60      0.00      4.61      0.00      0.00     94.79
01:41:28 AM      29      1.00      0.00      4.20      0.00      0.00     94.80
01:41:28 AM      30      0.80      0.00      4.39      0.00      0.00     94.81
01:41:28 AM      31      0.40      0.00      4.80      0.00      0.00     94.80

01:41:28 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:41:33 AM     all      0.78      0.00      0.16      0.73      0.00     98.34
01:41:33 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:41:33 AM       1      0.40      0.00      0.20      0.00      0.00     99.40
01:41:33 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:41:33 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:41:33 AM       4      0.20      0.00      0.60      0.00      0.00     99.20
01:41:33 AM       5      0.00      0.00      0.20      0.00      0.00     99.80
