,Workflow,SystemCPU,UserCPU,Elapsed,ConsumedEnergy,AveRSS,NCPUS,AveCPU
67,dpp,117.64,16684.0,2504.0,1141116,0.00533333,8,83.87400159744409
70,dpp,118.073,16750.0,2519.0,1161108,0.005333439999999999,8,83.70421298134181
71,dpp,116.536,16723.0,2541.0,1190456,0.005333439999999999,8,82.83911845730027
72,dpp,116.941,16749.0,2526.0,1256080,0.00533333,8,83.46170328582738
73,dpp,116.399,16693.0,2653.0,1149464,0.005333439999999999,8,79.19995759517528
74,dpp,134.219,19393.0,1722.0,2124548,0.00533333,16,70.87405270034844
77,dpp,133.28,19483.0,1619.0,2117340,0.005333439999999999,16,75.7268375540457
78,dpp,109.589,15660.0,4370.0,646812,0.00533333,4,90.21504004576659
79,dpp,177.681,27470.0,1264.0,3876116,0.00533333,32,68.35364171281645
80,dpp,141.422,15868.0,4369.0,516.68,0.701608,4,91.60804531929503
83,dpp,124.04,15256.0,8254.0,793.59,0.417356,2,93.16719166464745
84,dpp,151.797,17242.0,2486.0,323.52,1.200996,8,87.45875402252615
85,dpp,213.442,28811.0,1263.0,197.42,3.9157879999999996,32,71.81423693586697
86,dpp,168.411,20230.0,1601.0,229.28,2.223508,16,79.63152326670831
88,dpp,212.149,28607.0,1285.0,200.24,3.9193719999999996,32,70.08547908560311
89,dpp,168.739,20237.0,1586.0,230.06,2.207268,16,80.41353641235814
90,dpp,168.114,20194.0,1599.0,231.15,2.2205719999999998,16,79.58925109443403
92,dpp,168.793,20289.0,1590.0,230.18,2.220024,16,80.41585298742139
93,dpp,169.403,20435.0,1609.0,231.01,2.22866,16,80.03574813548788
94,dpp,213.881,28816.0,1264.0,197.85,3.8982799999999997,32,71.77086876977849
96,dpp,136.978,16949.0,2456.0,318.59,1.189,8,86.96039291530944
98,dpp,198.85,28414.0,1258.0,195.38,3.915472,32,71.07723072337043
103,dpp,195.154,27950.0,1417.0,203.20,3.9473759999999998,32,62.07029375441073
104,dpp,195.316,28230.0,1325.0,198.18,3.91552,32,67.04083962264151
106,dpp,135.99,16951.0,2593.0,329.01,1.1927159999999999,8,82.37075780948709
107,dpp,127.221,15582.0,4358.0,514.22,0.6730079999999999,4,90.11714662689306
108,dpp,127.435,15558.0,4366.0,513.66,0.693476,4,89.8158211177279
110,dpp,137.159,17072.0,2559.0,326.85,1.181544,8,84.06193337241109
112,dpp,127.53,15619.0,4457.0,517.95,0.675952,4,88.32471393313888
113,dpp,151.143,19819.0,1646.0,229.19,2.225916,16,75.8283072600243
114,dpp,132.034,15738.0,5546.0,577.77,0.6912119999999999,4,71.53819870176703
119,dpp,138.141,17020.0,2485.0,322.02,1.206292,8,86.30855633802817
120,dpp,136.714,17033.0,2500.0,323.24,1.2122439999999999,8,85.84857
121,dpp,136.909,17024.0,2472.0,321.56,1.2060039999999999,8,86.7764411407767
122,dpp,198.207,28210.0,1330.0,199.25,3.890256,32,66.74860667293233
