,Workflow,SystemCPU,UserCPU,Elapsed,ConsumedEnergy,AveRSS,NCPUS,AveCPU
1,daa,3201.339,260428.0,36993.0,4.20,2.618236,8,89.08081900629848
3,daa,2862.76,235627.0,65071.0,6.81,1.458672,4,91.62674616956862
5,daa,2868.775,235439.0,64602.0,6.77,1.480084,4,92.22151597473763
6,daa,3186.584,260160.0,37375.0,4.24,2.6227199999999997,8,88.07578060200669
11,daa,2927.007,235209.0,69122.0,7.09,1.456736,4,86.1288761175892
13,daa,3225.726,259507.0,39658.0,4.41,2.595208,8,82.8120196429472
14,daa,3206.56,258192.0,39510.0,4.42,2.5975919999999997,8,82.70012655024044
21,daa,3190.403,259959.0,36750.0,4.21,2.622616,8,89.50659965986395
24,daa,2913.234,235767.0,65422.0,6.84,1.473504,4,91.20793998960593
33,daa,3180.602,260402.0,36553.0,4.19,2.6231199999999997,8,90.13713033129977
34,daa,2910.147,235722.0,65690.0,6.83,1.457012,4,90.81753196833613
37,daa,3197.981,259594.0,36860.0,4.21,2.61956,8,89.11827896093327
38,daa,2928.249,235538.0,65000.0,6.78,1.46616,4,91.71778807692309
40,daa,2988.44,247646.0,35452.0,2129080,0.08828694999999999,8,88.37105099853324
41,daa,2665.262,227067.0,62673.0,1497312,0.08828678999999999,4,91.63924736329838
47,daa,3001.105,248452.0,36634.0,2118632,0.08828694,8,85.79908861986134
50,daa,2671.527,226795.0,66869.0,1214580,0.08828686,4,85.78957626104771
53,daa,3020.12,248115.0,38696.0,2119084,0.08828686,8,81.1243797808559
55,daa,3003.439,247142.0,38534.0,2127716,0.08828678999999999,8,81.14439164114809
62,daa,2699.785,224786.0,63789.0,1185588,0.08828694,4,89.15556953393218
64,daa,3026.287,248934.0,36163.0,2121204,0.08828678,8,87.09187809363162
68,daa,2684.178,226909.0,63205.0,1184952,0.08828686,4,90.81290166917175
69,daa,3025.98,250286.0,35642.0,2126084,0.08828686,8,88.83900314236014
75,daa,2682.175,226900.0,62938.0,1203836,0.08828686,4,91.19378396199434
76,daa,2678.315,225471.0,62960.0,1212964,0.08828678,4,90.59296180114359
81,daa,3160.575,229880.0,62144.0,7.59,1.483588,4,93.75023131758496
82,daa,3158.462,230001.0,62286.0,7.58,1.4601279999999999,4,93.58421715955431
87,daa,3558.404,257120.0,35535.0,4.76,2.628628,8,91.69776417616436
91,daa,3540.687,256689.0,35531.0,4.75,3.356084,8,91.55022621091442
95,daa,3465.517,256679.0,35406.0,4.73,2.6261959999999998,8,91.84337294526351
97,daa,5457.0,439163.0,16584.0,2.70,9.48096,32,83.78180776652195
99,daa,2841.905,226048.0,61831.0,7.54,1.468972,4,92.5465805987288
100,daa,5435.0,438297.0,16677.0,2.70,9.488771999999999,32,83.14819811716735
101,daa,5429.0,438710.0,16640.0,2.70,9.512523999999999,32,83.40951772836539
102,daa,3219.906,254113.0,35811.0,4.76,2.62336,8,89.82327566948702
105,daa,2868.519,227842.0,62696.0,7.63,1.487932,4,91.99570905639912
109,daa,5459.0,437987.0,17171.0,2.74,9.46576,32,80.70402131500786
111,daa,3773.0,291186.0,22160.0,3.26,4.899547999999999,16,83.1901511732852
115,daa,5542.0,436411.0,17874.0,2.76,9.359,32,77.26883322143897
116,daa,3802.0,290498.0,21529.0,3.20,4.92456,16,85.43708486227878
117,daa,3295.806,255360.0,36034.0,4.80,2.598584,8,89.7263022423267
118,daa,3788.0,290261.0,21533.0,3.21,4.89778,16,85.34836065573771
123,daa,3252.872,252915.0,35611.0,4.75,2.615932,8,89.91880037067197
124,daa,2868.801,226713.0,62626.0,7.63,1.4615399999999998,4,91.64795811643727
125,daa,3769.0,290453.0,21580.0,3.22,4.929936,16,85.2125810936052
126,daa,2870.576,226641.0,62690.0,7.65,1.70284,4,91.52639017387143
127,daa,3251.215,252822.0,35636.0,4.75,2.623628,8,89.8225162055225
128,daa,3642.0,290114.0,22477.0,2.87,4.8900999999999994,16,81.68238643947146
129,daa,5332.0,438557.0,17400.0,2.46,9.46522,32,79.72144396551724
130,daa,3642.0,289793.0,22065.0,2.85,4.879384,16,83.11664400634488
131,daa,5352.0,438747.0,17823.0,2.49,9.474948,32,77.8662051843124
132,daa,5352.0,438160.0,17694.0,2.49,9.468392,32,78.33022493500621
133,daa,3653.0,290006.0,22526.0,2.87,4.8818399999999995,16,81.47779232886442
134,daa,3801.0,291407.0,22599.0,3.31,4.912064,16,81.64299305278995
135,daa,3814.0,291588.0,22155.0,3.28,4.909472,16,83.33389754005867
136,daa,5502.0,437569.0,17212.0,2.75,9.514128,32,80.44369480594933
137,daa,3820.0,292130.0,22133.0,3.27,4.9090359999999995,16,83.571476980075
138,daa,5479.0,436832.0,17431.0,2.77,9.480864,32,79.2967629510642
139,daa,5484.0,437636.0,17642.0,2.79,9.487776,32,78.49166761138193
140,daa,5145.0,428371.0,17000.0,7758204,0.08828699999999999,32,79.69044117647059
141,daa,3523.829,282094.0,21476.0,3967160,0.08828691,16,83.12122514667537
142,daa,3526.15,282209.0,21431.0,3984004,0.08828889999999999,16,83.32997468620223
143,daa,3533.966,282291.0,21688.0,3958680,0.08828683999999999,16,82.36840822113612
144,daa,5127.0,427255.0,17145.0,7667304,0.08828691,32,78.80978419364246
145,daa,5150.0,427701.0,17045.0,7695876,0.08828699999999999,32,79.35813288354356
