Linux 5.15.0-87-generic (gl6) 	02/01/2024 	_x86_64_	(32 CPU)

01:18:40 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:18:45 AM     all      3.56      0.00      4.28      0.18      0.00     91.98
01:18:45 AM       0      1.20      0.00      4.20      0.00      0.00     94.60
01:18:45 AM       1      3.41      0.00      4.62      0.00      0.00     91.97
01:18:45 AM       2      0.60      0.00      4.60      0.00      0.00     94.80
01:18:45 AM       3      0.80      0.00      4.40      2.60      0.00     92.20
01:18:45 AM       4      0.40      0.00      4.80      3.20      0.00     91.60
01:18:45 AM       5      1.20      0.00      4.01      0.00      0.00     94.79
01:18:45 AM       6      1.00      0.00      4.20      0.00      0.00     94.80
01:18:45 AM       7      0.40      0.00      4.80      0.00      0.00     94.80
01:18:45 AM       8      1.20      0.00      4.01      0.00      0.00     94.79
01:18:45 AM       9     84.80      0.00      2.20      0.00      0.00     13.00
01:18:45 AM      10      0.80      0.00      4.40      0.00      0.00     94.80
01:18:45 AM      11      0.60      0.00      4.60      0.00      0.00     94.80
01:18:45 AM      12      0.80      0.00      4.40      0.00      0.00     94.80
01:18:45 AM      13      0.80      0.00      4.39      0.00      0.00     94.81
01:18:45 AM      14      0.80      0.00      4.39      0.00      0.00     94.81
01:18:45 AM      15      1.40      0.00      3.61      0.00      0.00     94.99
01:18:45 AM      16      0.60      0.00      4.59      0.00      0.00     94.81
01:18:45 AM      17      0.80      0.00      4.40      0.00      0.00     94.80
01:18:45 AM      18      1.00      0.00      4.20      0.00      0.00     94.80
01:18:45 AM      19      0.80      0.00      4.21      0.00      0.00     94.99
01:18:45 AM      20      1.00      0.00      4.20      0.00      0.00     94.80
01:18:45 AM      21      0.80      0.00      4.59      0.00      0.00     94.61
01:18:45 AM      22      0.60      0.00      4.99      0.00      0.00     94.41
01:18:45 AM      23      0.40      0.00      4.61      0.00      0.00     94.99
01:18:45 AM      24      0.80      0.00      4.40      0.00      0.00     94.80
01:18:45 AM      25      1.20      0.00      3.99      0.00      0.00     94.81
01:18:45 AM      26      0.80      0.00      4.40      0.00      0.00     94.80
01:18:45 AM      27      1.00      0.00      4.20      0.00      0.00     94.80
01:18:45 AM      28      1.20      0.00      3.81      0.00      0.00     94.99
01:18:45 AM      29      0.80      0.00      4.40      0.00      0.00     94.80
01:18:45 AM      30      0.80      0.00      4.40      0.00      0.00     94.80
01:18:45 AM      31      1.00      0.00      4.00      0.00      0.00     95.00

01:18:45 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:18:50 AM     all      0.87      0.00      0.04      0.70      0.00     98.39
01:18:50 AM       0      0.00      0.00      0.40      0.00      0.00     99.60
01:18:50 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM       3      0.00      0.00      0.20      0.00      0.00     99.80
01:18:50 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM       9     27.82      0.00      0.40     22.58      0.00     49.19
01:18:50 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      22      0.20      0.00      0.20      0.00      0.00     99.60
01:18:50 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
01:18:50 AM      31      0.00      0.00      0.00      0.00      0.00    100.00

01:18:50 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:18:55 AM     all      4.28      0.00      0.12      0.36      0.00     95.24
01:18:55 AM       0      0.20      0.00      0.40      0.00      0.00     99.40
01:18:55 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:18:55 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:18:55 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:18:55 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
