Timestamp,CPU,CPU MHz
2024-01-27T23:16:51,0,1900.0
2024-01-27T23:16:51,1,2000.0
2024-01-27T23:16:51,2,853.885
2024-01-27T23:16:51,3,800.0
2024-01-27T23:16:51,4,800.0
2024-01-27T23:16:51,5,1800.0
2024-01-27T23:16:51,6,2100.0
2024-01-27T23:16:51,7,2100.0
2024-01-27T23:16:51,8,800.0
2024-01-27T23:16:51,9,800.0
2024-01-27T23:16:51,10,800.0
2024-01-27T23:16:51,11,800.0
2024-01-27T23:16:51,12,800.0
2024-01-27T23:16:51,13,2200.0
2024-01-27T23:16:51,14,800.0
2024-01-27T23:16:51,15,800.0
2024-01-27T23:16:51,16,800.0
2024-01-27T23:16:51,17,800.0
2024-01-27T23:16:51,18,800.0
2024-01-27T23:16:51,19,2100.0
2024-01-27T23:16:51,20,800.0
2024-01-27T23:16:51,21,800.0
2024-01-27T23:16:51,22,800.0
2024-01-27T23:16:51,23,800.0
2024-01-27T23:16:51,24,1300.0
2024-01-27T23:16:51,25,800.0
2024-01-27T23:16:51,26,800.0
2024-01-27T23:16:51,27,800.0
2024-01-27T23:16:51,28,800.0
2024-01-27T23:16:51,29,800.0
2024-01-27T23:16:51,30,2100.0
2024-01-27T23:16:51,31,2000.0
2024-01-27T23:16:56,0,800.0
2024-01-27T23:16:56,1,824.911
2024-01-27T23:16:56,2,2000.0
2024-01-27T23:16:56,3,800.0
2024-01-27T23:16:56,4,800.0
2024-01-27T23:16:56,5,1100.0
2024-01-27T23:16:56,6,800.0
2024-01-27T23:16:56,7,800.0
2024-01-27T23:16:56,8,800.0
2024-01-27T23:16:56,9,3200.0
2024-01-27T23:16:56,10,800.0
2024-01-27T23:16:56,11,800.0
2024-01-27T23:16:56,12,2000.0
2024-01-27T23:16:56,13,800.0
2024-01-27T23:16:56,14,800.0
2024-01-27T23:16:56,15,800.0
2024-01-27T23:16:56,16,800.0
2024-01-27T23:16:56,17,800.0
2024-01-27T23:16:56,18,800.0
2024-01-27T23:16:56,19,800.0
2024-01-27T23:16:56,20,800.0
2024-01-27T23:16:56,21,800.0
2024-01-27T23:16:56,22,800.0
2024-01-27T23:16:56,23,2000.0
2024-01-27T23:16:56,24,800.0
2024-01-27T23:16:56,25,800.0
2024-01-27T23:16:56,26,800.0
2024-01-27T23:16:56,27,800.0
2024-01-27T23:16:56,28,800.0
2024-01-27T23:16:56,29,800.0
2024-01-27T23:16:56,30,800.0
2024-01-27T23:16:56,31,2200.0
2024-01-27T23:17:01,0,2000.0
2024-01-27T23:17:01,1,1900.0
2024-01-27T23:17:01,2,800.0
2024-01-27T23:17:01,3,829.465
2024-01-27T23:17:01,4,800.0
2024-01-27T23:17:01,5,2100.0
2024-01-27T23:17:01,6,2100.0
2024-01-27T23:17:01,7,800.0
2024-01-27T23:17:01,8,800.0
2024-01-27T23:17:01,9,800.0
2024-01-27T23:17:01,10,800.0
2024-01-27T23:17:01,11,800.0
2024-01-27T23:17:01,12,800.0
2024-01-27T23:17:01,13,800.0
2024-01-27T23:17:01,14,800.0
2024-01-27T23:17:01,15,800.0
2024-01-27T23:17:01,16,800.0
2024-01-27T23:17:01,17,800.0
2024-01-27T23:17:01,18,1632.752
2024-01-27T23:17:01,19,800.0
2024-01-27T23:17:01,20,800.0
2024-01-27T23:17:01,21,800.0
2024-01-27T23:17:01,22,800.0
2024-01-27T23:17:01,23,2100.0
2024-01-27T23:17:01,24,3200.0
2024-01-27T23:17:01,25,800.0
2024-01-27T23:17:01,26,800.0
2024-01-27T23:17:01,27,800.0
2024-01-27T23:17:01,28,800.0
2024-01-27T23:17:01,29,3162.957
2024-01-27T23:17:01,30,3162.737
2024-01-27T23:17:01,31,800.0
2024-01-27T23:17:06,0,2100.0
2024-01-27T23:17:06,1,2000.0
2024-01-27T23:17:06,2,870.528
2024-01-27T23:17:06,3,800.0
2024-01-27T23:17:06,4,800.0
2024-01-27T23:17:06,5,800.0
2024-01-27T23:17:06,6,1500.0
2024-01-27T23:17:06,7,800.0
2024-01-27T23:17:06,8,800.0
2024-01-27T23:17:06,9,800.0
2024-01-27T23:17:06,10,800.0
2024-01-27T23:17:06,11,800.0
2024-01-27T23:17:06,12,800.0
2024-01-27T23:17:06,13,800.0
2024-01-27T23:17:06,14,800.0
2024-01-27T23:17:06,15,800.0
2024-01-27T23:17:06,16,800.0
2024-01-27T23:17:06,17,800.0
2024-01-27T23:17:06,18,800.0
2024-01-27T23:17:06,19,2100.0
2024-01-27T23:17:06,20,800.0
2024-01-27T23:17:06,21,800.0
2024-01-27T23:17:06,22,2100.0
2024-01-27T23:17:06,23,800.0
2024-01-27T23:17:06,24,3200.0
2024-01-27T23:17:06,25,800.0
2024-01-27T23:17:06,26,800.0
2024-01-27T23:17:06,27,800.0
2024-01-27T23:17:06,28,800.0
2024-01-27T23:17:06,29,800.0
2024-01-27T23:17:06,30,800.0
2024-01-27T23:17:06,31,800.0
2024-01-27T23:17:11,0,1900.0
2024-01-27T23:17:11,1,800.0
2024-01-27T23:17:11,2,800.0
2024-01-27T23:17:11,3,2100.0
2024-01-27T23:17:11,4,800.0
2024-01-27T23:17:11,5,800.0
2024-01-27T23:17:11,6,800.0
2024-01-27T23:17:11,7,2100.0
2024-01-27T23:17:11,8,800.0
2024-01-27T23:17:11,9,800.0
2024-01-27T23:17:11,10,800.0
2024-01-27T23:17:11,11,800.0
2024-01-27T23:17:11,12,800.0
2024-01-27T23:17:11,13,800.0
